[16:47:51] [83/216] expand_1k 0.0001 s3 compiled_time_step: 0.6 us/step, peak RSS 155 MiB, ac 47% (0.5s)
[16:47:54] [84/216] expand_50k 0.5 s2 compiled_event_driven: 2400.5 us/step, peak RSS 312 MiB, ac 47% (3.0s)
[16:47:54] [85/216] expand_10k 1e-05 s3 numpy_event_driven: 4.1 us/step, peak RSS 103 MiB, ac 47% (0.4s)
[16:47:54] [86/216] expand_1k 0.5 s2 numpy_time_step: 63.5 us/step, peak RSS 93 MiB, ac 47% (0.5s)
[16:47:55] [87/216] expand_50k 0.001 s1 numpy_time_step: 345.6 us/step, peak RSS 155 MiB, ac 47% (0.7s)
[16:47:56] [88/216] expand_50k 1e-05 s1 compiled_time_step: 62.5 us/step, peak RSS 214 MiB, ac 47% (0.6s)
[16:47:56] [89/216] expand_50k 1e-05 s3 compiled_time_step: 87.0 us/step, peak RSS 214 MiB, ac 47% (0.6s)
[16:47:58] [90/216] expand_10k 0.5 s1 numpy_time_step: 1260.9 us/step, peak RSS 158 MiB, ac 47% (1.7s)
[16:47:59] [91/216] expand_50k 0.01 s3 compiled_event_driven: 334.2 us/step, peak RSS 219 MiB, ac 47% (0.9s)
[16:48:00] [92/216] expand_10k 0.1 s2 compiled_event_driven: 141.7 us/step, peak RSS 172 MiB, ac 47% (0.7s)
[16:48:02] [93/216] expand_50k 0.001 s1 numpy_event_driven: 2026.2 us/step, peak RSS 159 MiB, ac 47% (2.4s)
[16:48:02] [94/216] expand_10k 0.001 s2 numpy_time_step: 53.5 us/step, peak RSS 104 MiB, ac 47% (0.5s)
[16:48:03] [95/216] expand_1k 0.001 s3 numpy_time_step: 8.1 us/step, peak RSS 90 MiB, ac 47% (0.4s)
[16:48:03] [96/216] expand_10k 0.01 s3 compiled_time_step: 21.4 us/step, peak RSS 168 MiB, ac 47% (0.5s)
[16:48:04] [97/216] expand_10k 0.01 s1 compiled_event_driven: 42.5 us/step, peak RSS 169 MiB, ac 47% (0.6s)
[16:48:05] [98/216] expand_50k 0.0001 s2 compiled_event_driven: 161.4 us/step, peak RSS 216 MiB, ac 47% (0.8s)
[16:48:05] [99/216] expand_10k 1e-05 s1 numpy_event_driven: 6.6 us/step, peak RSS 104 MiB, ac 47% (0.4s)
[16:48:06] [100/216] expand_10k 0.0001 s2 numpy_event_driven: 47.3 us/step, peak RSS 105 MiB, ac 47% (0.5s)
[16:48:06] [101/216] expand_1k 0.01 s1 compiled_event_driven: 2.2 us/step, peak RSS 156 MiB, ac 47% (0.5s)
[16:48:07] [102/216] expand_50k 0.0001 s2 numpy_time_step: 289.6 us/step, peak RSS 154 MiB, ac 47% (0.7s)
[16:48:07] [103/216] expand_1k 1e-05 s1 compiled_event_driven: 0.0 us/step, peak RSS 156 MiB, ac 47% (0.5s)
[16:48:08] [104/216] expand_50k 0.001 s3 compiled_time_step: 101.0 us/step, peak RSS 214 MiB, ac 47% (0.7s)
[16:48:09] [105/216] expand_1k 0.01 s3 compiled_time_step: 1.3 us/step, peak RSS 155 MiB, ac 47% (0.5s)
[16:48:10] [106/216] expand_50k 1e-05 s1 numpy_event_driven: 703.9 us/step, peak RSS 160 MiB, ac 48% (1.1s)
[16:48:10] [107/216] expand_50k 1e-05 s2 numpy_time_step: 279.6 us/step, peak RSS 155 MiB, ac 48% (0.7s)
[16:48:13] [108/216] expand_50k 0.5 s1 compiled_time_step: 1757.6 us/step, peak RSS 309 MiB, ac 48% (2.3s)
[16:48:14] [109/216] expand_50k 0.001 s3 numpy_time_step: 359.8 us/step, peak RSS 163 MiB, ac 48% (0.8s)
[16:48:14] [110/216] expand_1k 0.1 s1 numpy_time_step: 27.4 us/step, peak RSS 91 MiB, ac 48% (0.4s)
[16:48:15] [111/216] expand_10k 0.01 s1 numpy_time_step: 92.0 us/step, peak RSS 105 MiB, ac 48% (0.5s)
[16:48:15] [112/216] expand_10k 1e-05 s3 compiled_event_driven: 0.1 us/step, peak RSS 168 MiB, ac 48% (0.5s)
[16:48:28] [113/216] expand_50k 0.5 s2 numpy_event_driven: 11921.1 us/step, peak RSS 430 MiB, ac 48% (12.3s)
[16:48:29] [114/216] expand_10k 0.1 s3 numpy_event_driven: 1065.5 us/step, peak RSS 118 MiB, ac 48% (1.5s)
[16:48:30] [115/216] expand_10k 0.01 s3 numpy_event_driven: 574.9 us/step, peak RSS 107 MiB, ac 48% (1.0s)
[16:48:31] [116/216] expand_1k 0.1 s3 compiled_event_driven: 8.1 us/step, peak RSS 156 MiB, ac 48% (0.8s)
[16:48:32] [117/216] expand_10k 0.5 s1 compiled_time_step: 246.0 us/step, peak RSS 187 MiB, ac 48% (0.8s)
[16:48:33] [118/216] expand_50k 0.1 s1 compiled_time_step: 601.0 us/step, peak RSS 234 MiB, ac 48% (1.2s)
[16:48:34] [119/216] expand_1k 0.001 s3 compiled_event_driven: 0.6 us/step, peak RSS 156 MiB, ac 48% (0.5s)
[16:48:34] [120/216] expand_1k 0.1 s1 numpy_event_driven: 86.7 us/step, peak RSS 91 MiB, ac 48% (0.5s)
[16:48:35] [121/216] expand_1k 0.0001 s2 compiled_time_step: 0.6 us/step, peak RSS 155 MiB, ac 48% (0.5s)
[16:48:35] [122/216] expand_50k 0.001 s2 compiled_time_step: 103.8 us/step, peak RSS 215 MiB, ac 48% (0.7s)
[16:48:36] [123/216] expand_1k 0.1 s1 compiled_time_step: 3.9 us/step, peak RSS 156 MiB, ac 48% (0.5s)
[16:48:36] [124/216] expand_10k 0.1 s3 compiled_time_step: 70.0 us/step, peak RSS 172 MiB, ac 48% (0.6s)
[16:48:37] [125/216] expand_10k 0.1 s2 numpy_time_step: 341.0 us/step, peak RSS 114 MiB, ac 48% (0.7s)
[16:48:38] [126/216] expand_50k 0.01 s2 compiled_event_driven: 330.1 us/step, peak RSS 218 MiB, ac 48% (0.9s)
[16:48:39] [127/216] expand_1k 0.5 s1 compiled_event_driven: 22.3 us/step, peak RSS 158 MiB, ac 48% (0.6s)
[16:48:39] [128/216] expand_1k 0.0001 s1 numpy_event_driven: 4.8 us/step, peak RSS 91 MiB, ac 48% (0.4s)
[16:48:40] [129/216] expand_50k 0.0001 s1 compiled_time_step: 109.7 us/step, peak RSS 214 MiB, ac 48% (0.7s)
[16:48:40] [130/216] expand_10k 0.01 s2 compiled_event_driven: 43.4 us/step, peak RSS 168 MiB, ac 48% (0.6s)
[16:48:41] [131/216] expand_10k 0.001 s1 numpy_time_step: 43.7 us/step, peak RSS 104 MiB, ac 48% (0.4s)
[16:48:41] [132/216] expand_50k 1e-05 s2 compiled_event_driven: 140.9 us/step, peak RSS 216 MiB, ac 48% (0.7s)
[16:48:48] [133/216] expand_50k 0.1 s2 numpy_event_driven: 5884.2 us/step, peak RSS 268 MiB, ac 48% (6.3s)
[16:48:48] [134/216] expand_1k 0.01 s3 numpy_event_driven: 54.8 us/step, peak RSS 91 MiB, ac 48% (0.5s)
[16:48:48] [135/216] expand_1k 0.0001 s2 numpy_event_driven: 4.9 us/step, peak RSS 91 MiB, ac 48% (0.4s)
[16:49:01] [136/216] expand_50k 0.5 s3 numpy_event_driven: 11867.0 us/step, peak RSS 478 MiB, ac 49% (12.3s)
[16:49:02] [137/216] expand_50k 0.01 s2 compiled_time_step: 159.3 us/step, peak RSS 216 MiB, ac 49% (0.7s)
[16:49:02] [138/216] expand_1k 1e-05 s3 compiled_event_driven: 0.0 us/step, peak RSS 156 MiB, ac 49% (0.5s)
[16:49:03] [139/216] expand_10k 0.001 s1 numpy_event_driven: 254.1 us/step, peak RSS 105 MiB, ac 49% (0.6s)
[16:49:03] [140/216] expand_1k 0.01 s2 numpy_time_step: 13.2 us/step, peak RSS 90 MiB, ac 49% (0.4s)
[16:49:03] [141/216] expand_1k 0.0001 s3 numpy_time_step: 3.2 us/step, peak RSS 90 MiB, ac 49% (0.4s)
[16:49:04] [142/216] expand_1k 0.001 s2 numpy_time_step: 8.0 us/step, peak RSS 90 MiB, ac 49% (0.4s)
[16:49:05] [143/216] expand_10k 0.1 s2 numpy_event_driven: 1026.7 us/step, peak RSS 116 MiB, ac 49% (1.4s)
[16:49:06] [144/216] expand_10k 1e-05 s2 numpy_event_driven: 6.6 us/step, peak RSS 106 MiB, ac 49% (0.4s)
[16:49:08] [145/216] expand_50k 0.5 s1 compiled_event_driven: 2345.1 us/step, peak RSS 312 MiB, ac 49% (2.9s)
[16:49:09] [146/216] expand_50k 1e-05 s3 compiled_event_driven: 160.3 us/step, peak RSS 216 MiB, ac 49% (0.7s)
[16:49:11] [147/216] expand_50k 0.5 s3 compiled_time_step: 1593.3 us/step, peak RSS 309 MiB, ac 49% (2.1s)
[16:49:12] [148/216] expand_10k 0.1 s1 numpy_time_step: 333.9 us/step, peak RSS 117 MiB, ac 49% (0.7s)
[16:49:12] [149/216] expand_10k 0.01 s2 numpy_time_step: 89.0 us/step, peak RSS 104 MiB, ac 49% (0.5s)
[16:49:13] [150/216] expand_1k 0.1 s2 numpy_time_step: 27.0 us/step, peak RSS 91 MiB, ac 49% (0.4s)
[16:49:14] [151/216] expand_10k 0.5 s3 compiled_event_driven: 415.8 us/step, peak RSS 187 MiB, ac 49% (0.9s)
[16:49:14] [152/216] expand_1k 0.001 s1 numpy_event_driven: 22.6 us/step, peak RSS 92 MiB, ac 49% (0.4s)
[16:49:15] [153/216] expand_1k 0.5 s3 numpy_event_driven: 142.3 us/step, peak RSS 93 MiB, ac 49% (0.5s)
[16:49:22] [154/216] expand_50k 0.5 s1 numpy_time_step: 6602.7 us/step, peak RSS 544 MiB, ac 49% (7.0s)
[16:49:22] [155/216] expand_1k 1e-05 s2 compiled_event_driven: 0.0 us/step, peak RSS 156 MiB, ac 49% (0.5s)
[16:49:23] [156/216] expand_1k 0.5 s3 compiled_event_driven: 21.8 us/step, peak RSS 158 MiB, ac 49% (0.5s)
[16:49:23] [157/216] expand_1k 0.0001 s1 compiled_event_driven: 0.1 us/step, peak RSS 156 MiB, ac 49% (0.5s)
[16:49:24] [158/216] expand_1k 0.001 s1 compiled_time_step: 0.7 us/step, peak RSS 155 MiB, ac 49% (0.5s)
[16:49:24] [159/216] expand_1k 1e-05 s3 numpy_event_driven: 0.9 us/step, peak RSS 90 MiB, ac 49% (0.4s)
[16:49:28] [160/216] expand_50k 0.01 s1 numpy_event_driven: 3086.8 us/step, peak RSS 176 MiB, ac 49% (3.5s)
[16:49:28] [161/216] expand_50k 1e-05 s1 numpy_time_step: 185.2 us/step, peak RSS 155 MiB, ac 49% (0.6s)
[16:49:29] [162/216] expand_1k 0.001 s1 compiled_event_driven: 0.5 us/step, peak RSS 156 MiB, ac 49% (0.5s)
[16:49:29] [163/216] expand_10k 1e-05 s2 compiled_time_step: 5.6 us/step, peak RSS 168 MiB, ac 49% (0.5s)
[16:49:31] [164/216] expand_10k 0.5 s2 numpy_time_step: 1231.9 us/step, peak RSS 156 MiB, ac 49% (1.6s)
[16:49:31] [165/216] expand_10k 1e-05 s3 numpy_time_step: 6.5 us/step, peak RSS 103 MiB, ac 49% (0.4s)
[16:49:32] [166/216] expand_1k 0.1 s2 compiled_event_driven: 7.9 us/step, peak RSS 156 MiB, ac 49% (0.5s)
[16:49:32] [167/216] expand_1k 0.5 s1 numpy_event_driven: 142.1 us/step, peak RSS 93 MiB, ac 49% (0.5s)
[16:49:33] [168/216] expand_10k 0.1 s3 numpy_time_step: 333.4 us/step, peak RSS 117 MiB, ac 49% (0.7s)
[16:49:33] [169/216] expand_10k 0.001 s1 compiled_time_step: 11.1 us/step, peak RSS 168 MiB, ac 49% (0.5s)
[16:49:37] [170/216] expand_50k 0.01 s3 numpy_event_driven: 3183.9 us/step, peak RSS 186 MiB, ac 49% (3.6s)
